username,GTS,cluster_name,username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event,log_followers,log_total_stars,log_total_forks,log_total_watchers,follower_following_ratio,cluster_label,cluster_name,GTS
amir1376,93.62032860841508,Strong,amir1376,762,40,42,4,2862.579186,53.95336411,1,1,1,1,0,30,13712,457.0666667,733,24.43333333,13712,457.0666667,368,12.26666667,184917.3333,2761.5,0.666666667,0.0,0.0,0.1,0.333333333,6,0.571428571,0.250702074,0.104128,30,11,8,0,1,4,5,0,0,0.192588648,6.637258031,9.526099567,6.598509029,9.526099567,18.58536585,2,Strong,93.62032860841508
SaadBazaz,93.32940782232473,Strong,SaadBazaz,262,406,116,5,2435.242304,27.35654019,1,1,1,1,0,30,84,2.8,13,0.433333333,84,2.8,7,0.233333333,57844.53333,2195.0,0.666666667,0.0,0.0,0.0,0.366666667,6,0.230769231,121.5706837,67.347605,30,13,1,3,5,2,0,0,3,0.104456853,5.572154032,4.442651256,2.63905733,4.442651256,0.643734644,2,Strong,93.32940782232473
momeemt,93.10598863981056,Strong,momeemt,269,23,51,8,2702.75115,27.36373064,1,1,1,1,0,30,214,7.133333333,5,0.166666667,214,7.133333333,60,2.0,163067.0333,1435.5,0.3,0.333333333,0.0,0.2,0.633333333,12,0.37037037,0.267075546,1.398545453,30,23,1,0,0,0,1,0,2,3.54396212,5.598421959,5.370638028,1.791759469,5.370638028,11.20833333,2,Strong,93.10598863981056
hesamsheikh,92.9653010694877,Strong,hesamsheikh,404,3,33,6,2777.1469,2.120441277,1,1,1,1,0,30,4898,163.2666667,461,15.36666667,4898,163.2666667,7,0.233333333,19116.93333,1746.5,0.166666667,0.0,0.0,0.033333333,0.833333333,4,0.541666667,1.235429703,0.05709637,30,15,0,8,1,4,1,0,1,1.235557018,6.003887067,8.496786382,6.135564891,8.496786382,101.0,2,Strong,92.9653010694877
getify,92.93140315236641,Strong,getify,45028,3,75,411,5942.625948,27.26953586,1,1,1,1,0,30,23230,774.3333333,2384,79.46666667,23230,774.3333333,121,4.033333333,15565.03333,179.0,0.1,0.5,0.0,0.033333333,0.866666667,3,0.916666667,1.009246508,1.150890026,30,7,2,0,12,8,0,0,1,0.632684008,10.71506201,10.05324287,7.776954403,10.05324287,11257.0,2,Strong,92.93140315236641
MomenSherif,92.89355147332148,Strong,MomenSherif,287,594,71,2,2427.310212,2.165906588,1,1,1,1,0,30,67,2.233333333,10,0.333333333,67,2.233333333,115,3.833333333,5938.8,251.5,0.066666667,0.0,0.0,0.066666667,0.933333333,4,0.407407407,10.53744594,10.53726075,30,10,9,0,3,2,3,0,0,2.491346402,5.66296048,4.219507705,2.397895273,4.219507705,0.482352941,2,Strong,92.89355147332148
Aleksanaa,92.83993237631483,Strong,Aleksanaa,331,177,71,7,2747.37937,5.213305344,1,1,1,0,0,30,46,1.533333333,3,0.1,46,1.533333333,1,0.033333333,9194.566667,721.5,0.6,0.1,0.0,0.0,0.4,9,0.263157895,43.30987942,5.006719696,30,5,2,4,2,5,1,0,6,0.512877103,5.805134969,3.850147602,1.386294361,3.850147602,1.859550562,2,Strong,92.83993237631483
skydoves,92.82322030776837,Strong,skydoves,12574,19,77,104,3364.842978,19.3365433,1,1,1,1,0,30,31890,1063.0,2831,94.36666667,31890,1063.0,164,5.466666667,14046.36667,615.5,0.0,0.1,0.0,0.2,0.966666667,2,0.962962963,1.158892839,0.283742376,30,11,10,0,1,2,2,0,0,0.919274784,9.439465995,10.37007912,7.948738455,10.37007912,628.7,2,Strong,92.82322030776837
Th0rgal,92.8107368319508,Strong,Th0rgal,381,232,190,39,2758.371407,32.96052781,1,1,1,1,0,30,85,2.833333333,23,0.766666667,85,2.833333333,9,0.3,16655.66667,278.0,0.666666667,0.0,0.0,0.0,0.333333333,7,0.230769231,21.18204401,21.18198614,30,10,9,1,0,4,5,0,0,0.062622718,5.945420609,4.454347296,3.17805383,4.454347296,1.635193133,2,Strong,92.8107368319508
Taiizor,92.70709420669874,Strong,Taiizor,290,5,100,19,2761.437911,29.37031865,1,1,1,1,0,30,115,3.833333333,7,0.233333333,115,3.833333333,6,0.2,8666.166667,590.5,0.6,0.3,0.0,0.0,0.4,8,0.454545455,13.39926541,0.340746888,30,18,1,4,3,4,0,0,0,0.049219111,5.673323267,4.753590191,2.079441542,4.753590191,48.33333333,2,Strong,92.70709420669874
