username,GTS,cluster_name
coleam00,74.88156513445634,Strong
Wuziyi616,74.87908565716444,Strong
paulonteri,74.83458845548967,Strong
pottekkat,74.82690281166951,Strong
GeunSam2,74.7612322606231,Strong
schacon,74.75918529902704,Strong
jzhang38,74.74665592008203,Strong
KhanbalaRashidov,74.7392087502991,Strong
itzmeanjan,74.73247050164937,Strong
rabbitmask,74.70542776002948,Strong
hemansnation,74.70141231711509,Strong
TyrantLucifer,74.69876536599827,Strong
codingforentrepreneurs,74.67123271657559,Strong
onuratakan,74.61566610323422,Strong
iampawan,74.6125890887263,Strong
clinton-mwachia,74.58926328812524,Strong
kallydev,74.5858939122686,Strong
sohamsshah,74.50108526951423,Strong
TannerGilbert,74.49215625559451,Strong
terroo,74.46795408287105,Strong
vivianamarquez,74.44813402257586,Strong
2659170494,74.43420879584653,Strong
hoffstadt,74.38058542459562,Strong
Hecate2,74.35785724984459,Strong
0xInfection,74.34023765638227,Strong
ringabout,74.32455645498362,Strong
haotongl,74.27969037943211,Strong
jjnanthakumar,74.24611478265996,Strong
iVGeek,74.2315189566547,Strong
aartbik,74.21604807029165,Strong
israel-dryer,74.19149765366295,Strong
MohamedMesto,74.18625246713061,Strong
kacperkapusciak,74.15624275110156,Strong
ash-jc-allen,74.14048353861745,Strong
yangshun,74.11339076416378,Strong
romainguy,74.05549471229483,Strong
BenNeighbour,74.05134176027781,Strong
ankushKun,74.03329825300672,Strong
ericciarla,74.02724723314107,Strong
tcc0lin,74.02490706150539,Strong
YSGStudyHards,74.02034118995256,Strong
saumya1singh,73.95279174288456,Strong
0xb0b1,73.92447748171934,Strong
PatheticMustan,73.88120609149368,Strong
Kalebu,73.87442695442272,Strong
jamescalam,73.87431029341046,Strong
serkodev,73.83055961168238,Strong
martin-lechene,73.76993931388695,Strong
cainhooow,73.747283836229,Strong
labuladong,73.74376908847223,Strong
qgallouedec,73.7420737787654,Strong
Suxiaoqinx,73.73850536332255,Strong
mattn,73.73175018195776,Strong
instafluff,73.65937727154605,Strong
Maddiaa0,73.62493240930604,Strong
fernandobelotto,73.62369570691338,Strong
kadirnar,73.61903146564725,Strong
patrickloeber,73.61088875162889,Strong
srevinsaju,73.60020588659461,Strong
YerongAI,73.58502844414755,Strong
naveensingh,73.57584370537428,Strong
hansputera,73.52545310359552,Strong
EdwardLab,73.52353613187307,Strong
NickCH-K,73.5198514743295,Strong
teja156,73.3377010283434,Strong
trekhleb,73.32163141347655,Strong
rizqiwahyudi,73.3189945116597,Strong
waydabber,73.29603680519158,Strong
app-generator,73.2790073773348,Strong
lingtengqiu,73.27458562657617,Strong
hauntmuskie,73.27013307991275,Strong
T8RIN,73.25573541424998,Strong
rexim,73.22298806398292,Strong
Charles-Chrismann,73.22227878538699,Strong
asdfugil,73.16010698706093,Strong
imprakharshukla,73.14320033688325,Strong
jongwooo,73.1384958738184,Strong
daoodaba975,73.11864479071701,Strong
avs-abhishek123,73.10804956901897,Strong
IsshikiHugh,73.10215555805983,Strong
vaaaaanquish,73.03843060509872,Strong
chapimenge3,72.95736598554979,Strong
smv1999,72.83245218097605,Strong
niudai,72.83242353309544,Strong
jisungbin,72.8141476406021,Strong
sainnhe,72.75414274584679,Strong
lucenarenato,72.74643555976338,Strong
AskAlexSharov,72.74043223557189,Strong
karpathy,72.72457257295167,Strong
isidentical,72.72449135012994,Average
VirtualAlllocEx,72.70562820886525,Strong
ZitongLu1996,72.67998138175183,Strong
brunosimon,72.67484977353793,Strong
lyxal,72.64899816375238,Strong
Lancetnik,72.64130598009683,Strong
tropicaaal,72.61259689455318,Strong
jujumilk3,72.60479672781317,Strong
gregpr07,72.60018012311727,Strong
Qengineering,72.59062684277791,Strong
mgustineli,72.59021737649164,Strong
asjadnaqvi,72.58051065459192,Strong
afordigital,72.57963233275439,Strong
lvsouza,72.53275602147627,Strong
kevaundray,72.52943270420185,Strong
ShreyaPrasad1209,72.48238631885854,Strong
msaaddev,72.46495638132396,Strong
YazeedAlKhalaf,72.40877301058332,Strong
metamaskbot,72.37243894731654,Strong
angeluriot,72.36701808641592,Strong
Asabeneh,72.34581557289631,Strong
iampavangandhi,72.34078968781186,Strong
williamkoller,72.33985059081988,Strong
saifurrehman4114,72.31493217853,Strong
silvery107,72.26172403051682,Strong
mewmewdevart,72.25950741787744,Strong
RhysSullivan,72.21865122600583,Strong
NeuralNine,72.19686557718879,Strong
gustavomorinaga,72.18830659095438,Strong
sindresorhus,72.15895905793266,Strong
Fcakiroglu16,72.13569116505613,Strong
mdnm,72.10891967614455,Strong
WangHelin1997,72.09204755202303,Strong
MichaelFYang,72.07332492260689,Strong
phodal,72.05732714372061,Strong
avrcoelho,71.97665910677377,Strong
mv-lab,71.8363794412936,Strong
achingachris,71.83359118992593,Strong
FireCubeStudios,71.81623040775284,Strong
ChunelFeng,71.81612126174456,Strong
sanket-25,71.79562209344141,Strong
astaxie,71.77611697420059,Strong
RafaelGoulartB,71.77135104462997,Strong
pachicodes,71.76290302365688,Strong
wabscale,71.68037251899975,Strong
romannurik,71.6712336777471,Strong
Sierkinhane,71.63538953582164,Strong
kgamanji,71.63382720263093,Strong
vaxerski,71.61720874164064,Strong
developer-junaid,71.6051430522709,Strong
ferdouszihad,71.6036437755748,Strong
atilsamancioglu,71.58843363499639,Strong
aakashverma1124,71.54931943667837,Strong
cangokceaslan,71.50123891336892,Strong
X1nto,71.48806096034232,Strong
Starlitnightly,71.46775058827818,Strong
fufexan,71.42129724472447,Strong
bdlukaa,71.36574624564543,Strong
tg-bomze,71.33668481506695,Strong
gtsteffaniak,71.33443895494113,Strong
WSTxda,71.33174460457593,Strong
jeniferGoncalvesDaSilvaDev,71.27221233483056,Strong
Landon153,71.25850524045252,Strong
NomanGul,71.15261875910097,Strong
ysj1173886760,71.1510922130912,Strong
skickar,71.13021852432205,Strong
dirien,71.06437563924356,Strong
yueliu1999,71.05948955015467,Strong
zhyncs,70.95073213032965,Strong
itsaky,70.94288543287448,Strong
simranjeet97,70.87749850778535,Strong
VedantKhairnar,70.87369473467317,Strong
yuwei-wu,70.83824099835756,Strong
hugoycj,70.83573481700515,Strong
LemonHX,70.82279883678703,Strong
sagar-uprety,70.79713778009874,Strong
raviprakash11,70.79003898182592,Strong
ManlyMarco,70.71054996633914,Strong
zetaloop,70.70210536644296,Strong
rennf93,70.69416141577713,Strong
youngfish42,70.68377966306332,Strong
adamhlt,70.56239481844787,Strong
Mar-32,70.5551656746977,Strong
srijan-paul,70.5445009171837,Strong
rasbt,70.53181776653572,Strong
szaimen,70.53159609786104,Strong
chenllliang,70.4110065963437,Strong
campusx-official,70.40812110699518,Strong
gaearon,70.38898459774303,Strong
wmutschl,70.36418938470143,Strong
li-plus,70.35344170214782,Strong
al-imam,70.33858230575831,Strong
bradtraversy,70.32820895159708,Strong
fumiama,70.29273267520311,Strong
bmdavis419,70.27204111469035,Strong
wellwelwel,70.26483020917007,Strong
gbowne1,70.19937014249565,Strong
mashharuki,70.19432060191383,Strong
doougui,70.18691293651203,Average
monukumar98,70.15045090316305,Strong
yusixian,70.14730509338654,Strong
Klerith,70.11261831577484,Strong
InsiderPhD,70.10345098861895,Strong
kenjinote,70.03566606976163,Strong
AmanVarshney01,70.00377394414761,Strong
IDouble,69.97886881334614,Strong
pythonlessons,69.96039770039057,Strong
0xdsm,69.95838187123607,Strong
justjavac,69.9496890291195,Strong
muratmirgun,69.93405358190236,Strong
shakilahmedatik,69.93106707915224,Strong
hakimel,69.91698780584684,Strong
hamzaali81,69.90379910902566,Average
capjamesg,69.90229866096908,Strong
benits,69.88613671997524,Average
BinBashBanana,69.87361846118475,Strong
nobuyuki83,69.83876507323777,Strong
SmartToolFactory,69.76408009616313,Strong
MidhaTahir,69.727450879727,Average
adryd325,69.72106845934995,Strong
hackerhouse-opensource,69.7020122669803,Strong
JaeSeoKim,69.70065487449807,Strong
Gofinge,69.6817394629756,Strong
buckyroberts,69.65656752389698,Strong
NishkarshRaj,69.6358281539181,Strong
dmalan,69.63225024876319,Strong
aripiprazole,69.58135904354852,Strong
RaisinTen,69.56040174812156,Strong
sl4ureano,69.55816435916925,Average
WhiteHoodHacker,69.55379556639684,Strong
pitmonticone,69.49824662409617,Strong
hppRC,69.47600487778699,Strong
LoseNine,69.45223624380773,Strong
vztu,69.44219964465938,Strong
dataprofessor,69.43102667578758,Strong
mustache-dev,69.39365387589595,Strong
3imed-jaberi,69.3858641600334,Strong
victoria-lo,69.36500207520936,Strong
Abhinav-26,69.35498155133617,Strong
curieuxjy,69.3170049436633,Strong
smaranjitghose,69.30951803538895,Strong
ParthibanRajasekaran,69.28730147288135,Average
SahilParikh03,69.23083126458967,Strong
juliusmarminge,69.19673374467402,Strong
AlpinDale,69.15433270099051,Strong
aler9,69.13072027689347,Strong
dladncks1217,69.09824049605328,Strong
Ovilia,69.0922016003866,Strong
biagiola,69.08683124999982,Strong
ljianshu,69.06494714369926,Strong
simongravelle,69.04147943468507,Strong
idootop,69.03352391905534,Strong
carrycooldude,68.97867514024726,Strong
siddharthdayalwal,68.97543848779861,Average
ShellWen,68.96362980255432,Strong
gvanrossum,68.95034028430872,Strong
rentainhe,68.93571363318198,Strong
BYVoid,68.91970198158177,Strong
CoelacanthusHex,68.91553921201537,Strong
JinSSJ3,68.91109278664601,Strong
YahboomTechnology,68.8804568437346,Strong
ThePrimeagen,68.86754724428404,Strong
vinifraga,68.83633587929305,Strong
raghu-007,68.8228384757018,Strong
rakyll,68.78412286394007,Strong
scottnonnenberg-signal,68.77892214876965,Strong
midudev,68.77283460220923,Strong
soumith,68.76573471598837,Strong
anakin87,68.75242464446114,Strong
thisiskeanyvy,68.7236103707019,Strong
kamranahmedse,68.7046903879494,Strong
horychen,68.66351415077506,Strong
Leizhenpeng,68.61743207751695,Strong
lhoestq,68.59623902534675,Strong
Johnserf-Seed,68.5860318406218,Strong
Tienisto,68.57975962947164,Strong
songquanpeng,68.55211165068333,Strong
guochengqian,68.53007538261866,Strong
haoheliu,68.51845960611266,Strong
gioboa,68.51587080628855,Strong
CleuJunior,68.4892082545738,Average
Gladiator07,68.4555619655097,Strong
xhofe,68.450422182905,Strong
